KNOT	A	B1	B2	B3	SEX	AGE	PERCENTILE	CHART
0	0.371962e 02	0.265882e 01	-0.266030e 00	0.120376e-01	M	1	95	4
0.600000e 01	0.461721e 02	0.766525e 00	-0.493531e-01	0.132490e-02				
0.180000e 02	0.505530e 02	0.154408e 00	-0.165660e-02	-0.291265e-05				
0	0.358928e 02	0.268260e 01	-0.289272e 00	0.138722e-01	F	1	95	4
0.600000e 01	0.445710e 02	0.709534e 00	-0.395723e-01	0.991130e-03				
0.180000e 02	0.490996e 02	0.187966e 00	-0.389165e-02	0.305299e-04				
0.255000e 02	0.825068e 02	0.646358e 00	-0.272458e-02	0.100424e-04	M	2	5	5
0.138000e 03	0.135038e 03	0.414625e 00	0.664730e-03	0.257802e-04				
0.168000e 03	0.148771e 03	0.524116e 00	0.298495e-02	-0.141306e-03				
0.204000e 03	0.164915e 03	0.189633e 00	-0.122761e-01	0.155839e-03				
0.255000e 02	0.816398e 02	0.668797e 00	-0.372647e-02	0.189369e-04	F	2	5	5
0.132000e 03	0.133475e 03	0.519419e 00	0.232387e-02	-0.148226e-03				
0.156000e 03	0.145230e 03	0.374831e 00	-0.834837e-02	0.802174e-04				
0.192000e 03	0.151648e 03	0.856335e-01	0.315103e-03	-0.218251e-04				
0.180000e 02	0.971896e 01	0.128036e 00	0.731461e-04	0.534442e-06	M	2	5	2
0.960000e 02	0.204044e 02	0.149201e 00	0.198206e-03	0.165266e-04				
0.156000e 03	0.336397e 02	0.351473e 00	0.317299e-02	-0.571972e-04				
0.204000e 03	0.514954e 02	0.260732e 00	-0.506341e-02	0.407281e-04				
0.180000e 02	0.901814e 01	0.160928e 00	-0.113009e-02	0.103952e-04	F	2	5	2
0.840000e 02	0.177053e 02	0.147602e 00	0.928168e-03	0.285885e-05				
0.144000e 03	0.305203e 02	0.289857e 00	0.144276e-02	-0.393544e-04				
0.192000e 03	0.434053e 02	0.156345e 00	-0.422428e-02	0.388587e-04				
0.255000e 02	0.835309e 02	0.674440e 00	-0.298966e-02	0.113056e-04	M	2	10	5
0.138000e 03	0.137665e 03	0.431025e 00	0.825966e-03	0.163465e-04				
0.168000e 03	0.151780e 03	0.524718e 00	0.229715e-02	-0.127491e-03				
0.204000e 03	0.167699e 03	0.194429e 00	-0.114718e-01	0.169701e-03				
0.255000e 02	0.821071e 02	0.730922e 00	-0.469171e-02	0.239411e-04	F	2	10	5
0.132000e 03	0.135655e 03	0.546227e 00	0.295749e-02	-0.174597e-03				
0.156000e 03	0.148055e 03	0.386483e 00	-0.961348e-02	0.983796e-04				
0.192000e 03	0.154099e 03	0.768124e-01	0.101152e-02	-0.357525e-04				
0.180000e 02	0.101752e 02	0.130689e 00	0.165546e-03	0.286728e-07	M	2	10	2
0.960000e 02	0.213898e 02	0.157038e 00	0.172256e-03	0.192888e-04				
0.156000e 03	0.355985e 02	0.386027e 00	0.364424e-02	-0.654676e-04				
0.204000e 03	0.552840e 02	0.283362e 00	-0.578310e-02	0.249606e-04				
0.180000e 02	0.916160e 01	0.206227e 00	-0.223336e-02	0.186066e-04	F	2	10	2
0.840000e 02	0.183934e 02	0.154575e 00	0.145075e-02	-0.167550e-05				
0.144000e 03	0.325287e 02	0.310569e 00	0.114916e-02	-0.389116e-04				
0.192000e 03	0.457804e 02	0.151931e 00	-0.445412e-02	0.438321e-04				
0.255000e 02	0.853063e 02	0.731682e 00	-0.391448e-02	0.164307e-04	M	2	25	5
0.138000e 03	0.141472e 03	0.474776e 00	0.163087e-02	-0.111989e-04				
0.168000e 03	0.156881e 03	0.542391e 00	0.622971e-03	-0.114118e-03				
0.204000e 03	0.171890e 03	0.143554e 00	-0.117018e-01	0.204164e-03				
0.255000e 02	0.839614e 02	0.753949e 00	-0.468638e-02	0.239375e-04	F	2	25	5
0.132000e 03	0.140018e 03	0.570265e 00	0.296166e-02	-0.192370e-03				
0.156000e 03	0.152751e 03	0.380009e 00	-0.108890e-01	0.117895e-03				
0.192000e 03	0.157820e 03	0.543764e-01	0.184366e-02	-0.438249e-04				
0.180000e 02	0.105067e 02	0.177864e 00	-0.685562e-03	0.606553e-05	M	2	25	2
0.960000e 02	0.230876e 02	0.181625e 00	0.733772e-03	0.144305e-04				
0.156000e 03	0.397436e 02	0.425527e 00	0.333126e-02	-0.689587e-04				
0.204000e 03	0.602179e 02	0.268685e 00	-0.659880e-02	0.663706e-04				
0.180000e 02	0.961467e 01	0.240806e 00	-0.305596e-02	0.263735e-04	F	2	25	2
0.840000e 02	0.197784e 02	0.182069e 00	0.216600e-02	-0.916294e-05				
0.144000e 03	0.365210e 02	0.343029e 00	0.516666e-03	-0.369482e-04				
0.192000e 03	0.500906e 02	0.137243e 00	-0.480387e-02	0.561772e-04				
0.255000e 02	0.868352e 02	0.822044e 00	-0.523398e-02	0.233883e-04	M	2	50	5
0.138000e 03	0.146374e 03	0.532423e 00	0.265957e-02	-0.599264e-04				
0.168000e 03	0.163122e 03	0.530196e 00	-0.273380e-02	-0.523945e-04				
0.204000e 03	0.176221e 03	0.129653e 00	-0.839241e-02	0.147445e-03				
0.255000e 02	0.867915e 02	0.729563e 00	-0.363677e-02	0.178232e-04	F	2	50	5
0.132000e 03	0.144770e 03	0.561396e 00	0.205774e-02	-0.165896e-03				
0.156000e 03	0.157136e 03	0.373500e 00	-0.988676e-02	0.994302e-04				
0.192000e 03	0.162407e 03	0.482377e-01	0.851705e-03	-0.257556e-04				
0.180000e 02	0.110857e 02	0.217499e 00	-0.137312e-02	0.118022e-04	M	2	50	2
0.960000e 02	0.252973e 02	0.218706e 00	0.138859e-02	0.709954e-05				
0.156000e 03	0.449521e 02	0.462012e 00	0.266651e-02	-0.629980e-04				
0.204000e 03	0.663053e 02	0.282556e 00	-0.640519e-02	0.636547e-04				
0.180000e 02	0.103759e 02	0.254442e 00	-0.315718e-02	0.292996e-04	F	2	50	2
0.840000e 02	0.218399e 02	0.220580e 00	0.264413e-02	-0.141733e-04				
0.144000e 03	0.415322e 02	0.384804e 00	0.929387e-04	-0.391635e-04				
0.192000e 03	0.558857e 02	0.123029e 00	-0.554660e-02	0.704276e-04				
0.255000e 02	0.892283e 02	0.838950e 00	-0.531539e-02	0.243933e-04	M	2	75	5
0.138000e 03	0.151069e 03	0.569172e 00	0.291736e-02	-0.834725e-04				
0.168000e 03	0.168516e 03	0.518838e 00	-0.459517e-02	-0.159672e-04				
0.204000e 03	0.180494e 03	0.125905e 00	-0.631963e-02	0.888817e-04				
0.255000e 02	0.893362e 02	0.723258e 00	-0.286510e-02	0.127946e-04	F	2	75	5
0.132000e 03	0.149322e 03	0.548352e 00	0.122279e-02	-0.136672e-03				
0.156000e 03	0.161297e 03	0.370876e 00	-0.861760e-02	0.740175e-04				
0.192000e 03	0.166934e 03	0.381897e-01	-0.623703e-03	0.704273e-05				
0.180000e 02	0.120182e 02	0.233098e 00	-0.160900e-02	0.157994e-04	M	2	75	2
0.960000e 02	0.279083e 02	0.270465e 00	0.208806e-02	0.624575e-06				
0.156000e 03	0.517881e 02	0.527778e 00	0.220049e-02	-0.725474e-04				
0.204000e 03	0.741682e 02	0.237577e 00	-0.824633e-02	0.119581e-03				
0.180000e 02	0.109411e 02	0.325333e 00	-0.481138e-02	0.441819e-04	F	2	75	2
0.840000e 02	0.241568e 02	0.267600e 00	0.393664e-02	-0.292546e-04				
0.144000e 03	0.480656e 02	0.424046e 00	-0.132920e-02	-0.277167e-04				
0.192000e 03	0.622922e 02	0.104866e 00	-0.532040e-02	0.748907e-04				
0.255000e 02	0.919714e 02	0.823329e 00	-0.497780e-02	0.238891e-04	M	2	90	5
0.138000e 03	0.155610e 03	0.610364e 00	0.308477e-02	-0.107954e-03				
0.168000e 03	0.173782e 03	0.503975e 00	-0.663105e-02	0.237780e-04				
0.204000e 03	0.184441e 03	0.118988e 00	-0.406303e-02	0.186936e-04				
0.255000e 02	0.919994e 02	0.680090e 00	-0.156702e-02	0.579077e-05	F	2	90	5
0.132000e 03	0.153650e 03	0.543356e 00	0.283134e-03	-0.109772e-03				
0.156000e 03	0.165337e 03	0.367260e 00	-0.762047e-02	0.525732e-04				
0.192000e 03	0.171135e 03	0.229910e-01	-0.194256e-02	0.348975e-04				
0.180000e 02	0.129521e 02	0.248582e 00	-0.182995e-02	0.207611e-04	M	2	90	2
0.960000e 02	0.310603e 02	0.342042e 00	0.302815e-02	-0.155830e-04				
0.156000e 03	0.591183e 02	0.537123e 00	0.223208e-03	-0.166143e-04				
0.204000e 03	0.835770e 02	0.443713e 00	-0.216925e-02	-0.101541e-03				
0.180000e 02	0.117513e 02	0.329915e 00	-0.436362e-02	0.447569e-04	F	2	90	2
0.840000e 02	0.273852e 02	0.338800e 00	0.449825e-02	-0.366328e-04				
0.144000e 03	0.559942e 02	0.482956e 00	-0.209565e-02	-0.241366e-04				
